"Source:","D:\Documenti_A\Università\Corsi\Tesi\Progetto Kicad Lidar\Progetto Lidar.kicad_sch"
"Date:","12/05/2025 09:19:33"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Datasheet_1","Dettagli","Footprint_1","Height","Manufacturer_Name","Manufacturer_Part_Number","Modello","Mouser Part Number","Mouser Price/Stock","Reference_1","Value_1"
"","","C1","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C2","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C4","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","Ceramico con ESR: 100 mOhm max","","","","","","","","",""
"","","C5","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C6","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C8","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C9","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C10","50pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C11","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","C12","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","","",""
"","","D1","5V","Device:LED","LED_SMD:LED_0805_2012Metric","https://www.mouser.it/ProductDetail/ROHM-Semiconductor/SML-211UTT86?qs=sGAEpiMZZMvVL5Kk7ZYykVdSwGyztViFI9D9wmJcYhM%3D","","","","","","","","","","",""
"","","D2","3V3","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","","","","","",""
"","","D3","D_Shockley","Device:D_Schottky","Libreria_componenti_footprint:RB511VM30TE17","Datasheet/rb511vm-30te-17-e.pdf","","","","","","","RB511VM-30TE-17","","","",""
"","","IC_0","Arduino_Due_Shield","arduino-library:Arduino_Due_Shield","arduino-library:Arduino_Due_Shield","https://docs.arduino.cc/hardware/due","","","","","","","","","","",""
"","","IC_1","TDC7200PW","Libreria_componenti:TDC7200PW","Libreria_componenti_footprint:SOP65P640X120-14N","Datasheet/tdc7200.pdf","http://www.ti.com/lit/ds/symlink/tdc7200.pdf","","SOP65P640X120-14N","1.2","Texas Instruments","TDC7200PW","","595-TDC7200PW","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TDC7200PW?qs=Q2snjRlG%2FBIHkOu3cFqg1g%3D%3D","IC","TDC7200PW"
"","","IC_2","SiT2024BA-S2-33E-8.000000G","Libreria_componenti:SiT2024BA-S2-33E-8.000000G","Libreria_componenti_footprint:SOT95P280X145-5N","Datasheet/SiT2024B.pdf","https://www.mouser.it/datasheet/2/371/SiT2024B-datasheet-1110818.pdf","","SOT95P280X145-5N","1.45","SiTime","SiT2024BA-S2-33E-8.000000G","","788-2024BA-S2-33E-8G","https://www.mouser.co.uk/ProductDetail/SiTime/SiT2024BA-S2-33E-8.000000G?qs=dMZC7um9hO%2FirfxPzzDefA%3D%3D","Y","SiT2024BA-S2-33E-8.000000G"
"","","IC_3","SN74LVC1G125DCKR","Libreria_componenti:SN74LVC1G125DCKR","Libreria_componenti_footprint:SOT65P210X110-5N","Datasheet/sn74lvc1g125.pdf","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-302/24053.pdf","","SOT65P210X110-5N","1.1","Texas Instruments","SN74LVC1G125DCKR","","595-SN74LVC1G125DCKR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1G125DCKR?qs=dT9u2OTAaVUrYF5qV08%2Fhw%3D%3D","IC","SN74LVC1G125DCKR"
"","","IC_4","LT1719IS6#TRPBF","Libreria_componenti:LT1719IS6#TRPBF","Libreria_componenti_footprint:SOT95P280X100-6N","Datasheet/LT1719IS6.pdf","https://www.analog.com/media/en/technical-documentation/data-sheets/1719fa.pdf","","SOT95P280X100-6N","1","Analog Devices","LT1719IS6#TRPBF","","584-LT1719IS6#TRPBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LT1719IS6TRPBF?qs=ytflclh7QUW7a8zSEpHCoA%3D%3D","IC","LT1719IS6#TRPBF"
"","","IC_5","TLV74133PDBVR","Libreria_componenti:TLV74133PDBVR","Libreria_componenti_footprint:SOT95P280X145-5N","Datasheet/tlv741p.pdf","","","","1.45","Texas Instruments","TLV74133PDBVR","","595-TLV74133PDBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV74133PDBVR?qs=EU6FO9ffTwd%252Bkie4AO1Iww%3D%3D","",""
"","","J1","CONN_LASER","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal"," ~","","","","","","","","","","",""
"","","J2","CONN_RICEVITORE","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Molex_73251-1153_EdgeMount_Horizontal"," ~","","","","","","","","","","",""
"","","J3","Conn_02x18_Odd_Even","Connector_Generic:Conn_02x18_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x18_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","J4","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","J5","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","J6","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","J7","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","J8","Conn_SPI","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","J9","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","J10","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","","","","","","","",""
"","","JP1","REG_EN","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","","","",""
"","","JP2","LDO_EN","Jumper:SolderJumper_3_Open","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels","~","","","","","","","","","","",""
"","","JP3","OSC_EN","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","","","","","","","",""
"","","R1","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","",""
"","","R2","1k8","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","",""
